agency_cd,site_no,peak_dt,peak_tm,peak_va,peak_cd,gage_ht,gage_ht_cd,year_last_pk,ag_dt,ag_tm,ag_gage_ht,ag_gage_ht_cd
USGS,9064000,1948-06-02,,906,,5.98,,,,,,
USGS,9064000,1949-06-16,,910,,6.1,,,,,,
USGS,9064000,1950-06-16,,570,,4.95,,,,,,
USGS,9064000,1951-06-21,,915,,6.05,,,,,,
USGS,9064000,1952-06-10,,1030,,6.34,,,,,,
USGS,9064000,1953-06-13,,1080,,6.84,,,,,,
USGS,9064000,1954-05-19,,465,,5,,,,,,
USGS,9064000,1973-06-27,,180,"1,2,6",,,,,,,
USGS,9064000,1974-05-27,,84,"1,6",,,,,,,
USGS,9064000,1975-07-04,,562,6,5.56,,,,,,
USGS,9064000,1976-06-05,,270,6,5.13,2,,4/11/76,,5.37,1
USGS,9064000,1977-07-24,,230,6,4.98,,,,,,
USGS,9064000,1978-06-15,,639,6,5.76,2,,4/5/78,,6.31,1
USGS,9064000,1979-06-13,,513,6,5.6,,,,,,
USGS,9064000,1980-06-10,,362,6,5.33,,,,,,
USGS,9064000,1981-06-09,,429,6,5.38,,,,,,
USGS,9064000,1982-06-28,,217,6,4.99,2,,4/15/82,,5.11,1
USGS,9064000,1983-07-30,,611,6,5.69,,,,,,
USGS,9064000,1984-06-30,,930,6,6.21,,,,,,
USGS,9064000,1985-06-08,,470,6,5.59,,,,,,
USGS,9064000,1986-06-04,,530,6,5.5,,,,,,
USGS,9064000,1987-06-08,,325,6,5.3,,,,,,
USGS,9064000,1988-06-04,,257,6,5.16,,,,,,
USGS,9064000,1989-07-12,,137,6,4.82,,,,,,
USGS,9064000,1990-06-07,,285,6,5.19,,,,,,
USGS,9064000,1991-06-11,,201,6,4.98,,,,,,
USGS,9064000,1992-04-29,,103,6,4.63,,,,,,
USGS,9064000,1993-06-14,,358,6,5.22,,,,,,
USGS,9064000,1994-05-17,,183,6,4.91,2,,10/30/93,,4.92,1
USGS,9064000,1995-06-18,,465,"1,6",,,,,,,
USGS,9064000,1996-06-21,,410,6,5.25,2,,1/7/96,,6.01,1
USGS,9064000,1997-06-01,20:30,802,6,5.61,,,,,,
USGS,9064000,1998-07-01,,513,6,5.4,,,,,,
USGS,9064000,1999-06-23,21:45,337,6,5.24,2,,12/24/98,,5.89,1
USGS,9064000,2000-06-19,22:00,671,6,5.56,,,,,,
USGS,9064000,2001-06-25,23:30,196,6,4.89,,,,,,
USGS,9064000,2002-05-15,16:30,118,6,4.74,,,,,,
USGS,9064000,2003-05-29,21:45,615,6,5.54,,,,,,
USGS,9064000,2004-06-07,21:15,132,6,4.78,,,,,,
USGS,9064000,2005-05-22,21:00,318,6,5.18,,,,,,
USGS,9064000,2006-05-23,0:45,294,6,5.14,,,,,,
USGS,9064000,2007-04-30,19:00,135,6,4.79,,,,,,
USGS,9064000,2008-06-29,19:45,1090,6,5.92,,,,,,
USGS,9064000,2009-06-24,20:45,412,6,5.37,,,,,,
USGS,9064000,2010-06-05,19:45,1480,6,6.12,,,,,,
USGS,9064000,2011-07-07,23:15,1290,6,6.03,,,,,,
USGS,9064000,2012-05-23,0:30,278,6,5.11,,,,,,
USGS,9064000,2013-06-10,22:30,382,6,5.29,,,,,,
USGS,9064000,2014-05-29,22:45,487,6,5.42,,,,,,
USGS,9064000,2015-06-17,19:30,444,6,5.37,,,,,,
USGS,9064000,2016-06-05,21:15,806,6,6.03,,,,,,
USGS,9064000,2017-06-22,19:15,603,6,5.61,,,,,,
USGS,9064000,2018-05-25,22:15,118,6,4.81,,,,,,
USGS,9064000,2019-06-30,22:45,1550,6,6.15,,,,,,
USGS,9064000,2020-06-01,20:30,262,6,5.22,,,,,,
