agency_cd,site_no,peak_dt,peak_tm,peak_va,peak_cd,gage_ht,gage_ht_cd,year_last_pk,ag_dt,ag_tm,ag_gage_ht,ag_gage_ht_cd
USGS,9342500,1911-07-02,,3500,,5.5,6,,,,,
USGS,9342500,1911-10-05,,25000,,17.8,6,,,,,
USGS,9342500,1913-05-26,,1860,,5.7,,,,,,
USGS,9342500,1914-06-02,,3550,,7.7,,,,,,
USGS,9342500,1927-06-29,,16000,"2,7",13.5,,,,,,
USGS,9342500,1935-06-15,,4710,,6.72,6,,,,,
USGS,9342500,1936-05-05,,2400,,5.84,,,,,,
USGS,9342500,1937-05-18,,3120,,6.19,,,,,,
USGS,9342500,1938-05-29,,3970,,6.58,,,,,,
USGS,9342500,1939-05-22,,1510,,5.22,,,,,,
USGS,9342500,1940-05-17,,1600,,5.16,,,,,,
USGS,9342500,1941-05-13,,5790,,7.92,,,,,,
USGS,9342500,1942-04-22,,3690,,6.55,2,,10/14/41,,6.72,
USGS,9342500,1943-06-30,,2240,,5.69,,,,,,
USGS,9342500,1944-05-16,,4540,,7.17,,,,,,
USGS,9342500,1945-05-28,,2750,,5.98,,,,,,
USGS,9342500,1946-06-04,,1500,,5.12,,,,,,
USGS,9342500,1947-05-10,,1750,,5.31,,,,,,
USGS,9342500,1948-06-03,,4480,,7.37,,,,,,
USGS,9342500,1949-06-19,,5420,,7.97,,,,,,
USGS,9342500,1950-06-01,,1670,,5.67,,,,,,
USGS,9342500,1951-05-28,,2260,,6.15,,,,,,
USGS,9342500,1952-06-10,,4960,,7.65,,,,,,
USGS,9342500,1953-05-28,,2480,,6.31,,,,,,
USGS,9342500,1954-05-21,,1630,,5.57,,,,,,
USGS,9342500,1955-06-08,,2030,,6.04,,,,,,
USGS,9342500,1956-06-02,,2440,,6.45,,,,,,
USGS,9342500,1957-07-26,,4910,,8.96,,,,,,
USGS,9342500,1958-05-27,,2930,,7.19,,,,,,
USGS,9342500,1959-06-06,,1200,,3.8,,,,,,
USGS,9342500,1960-06-04,,2420,,5.49,,,,,,
USGS,9342500,1961-05-22,,1870,,4.79,,,,,,
USGS,9342500,1962-05-11,,2410,,5.44,,,,,,
USGS,9342500,1963-05-07,,1540,,4.67,,,,,,
USGS,9342500,1964-05-24,,2240,,5.35,,,,,,
USGS,9342500,1965-05-21,,3250,,6.57,,,,,,
USGS,9342500,1966-05-08,,2100,,5.42,,,,,,
USGS,9342500,1967-05-23,,1680,,4.92,,,,,,
USGS,9342500,1968-06-05,,2450,,5.47,,,,,,
USGS,9342500,1969-05-28,,2250,,5.29,,,,,,
USGS,9342500,1970-09-06,,6580,,9.02,,,,,,
USGS,9342500,1971-06-18,,1310,,4.94,2,,6/8/71,,4.99,
USGS,9342500,1972-05-20,,1460,,4.72,,,,,,
USGS,9342500,1973-06-12,,4310,,7.38,,,,,,
USGS,9342500,1974-05-11,,1430,,4.58,,,,,,
USGS,9342500,1975-06-06,,3850,,6.97,,,,,,
USGS,9342500,1976-06-06,,2580,,5.62,,,,,,
USGS,9342500,1977-08-18,,1150,,4.12,,,,,,
USGS,9342500,1978-06-15,,2710,,5.65,,,,,,
USGS,9342500,1979-05-26,,5210,,7.48,,,,,,
USGS,9342500,1980-06-10,,4010,,6.52,,,,,,
USGS,9342500,1981-06-08,,1850,,4.91,,,,,,
USGS,9342500,1982-05-03,,2240,,5.3,,,,,,
USGS,9342500,1983-05-31,,3380,,6.27,,,,,,
USGS,9342500,1984-05-24,,4360,,6.88,,,,,,
USGS,9342500,1985-06-08,,4110,,6.65,,,,,,
USGS,9342500,1986-06-06,,3830,,6.23,,,,,,
USGS,9342500,1987-06-07,23:00,3190,,5.93,,,,,,
USGS,9342500,1988-05-18,,1920,,4.62,,,,,,
USGS,9342500,1989-05-28,,1790,,4.51,,,,,,
USGS,9342500,1990-06-11,,2880,,5.63,,,,,,
USGS,9342500,1991-05-27,,2410,,5.28,,,,,,
USGS,9342500,1992-08-24,,3500,,6.28,,,,,,
USGS,9342500,1993-05-27,,4280,,6.95,,,,,,
USGS,9342500,1994-06-22,,2790,,5.62,,,,,,
USGS,9342500,1995-06-17,,5250,,8.06,,,,,,
USGS,9342500,1996-05-16,,2090,,4.39,,,,,,
USGS,9342500,1997-06-01,23:30,4140,,6.43,,,,,,
USGS,9342500,1998-05-30,,2590,,5.02,,,,,,
USGS,9342500,1999-05-24,1:30,2120,,4.78,,,,,,
USGS,9342500,2000-05-06,,1440,,3.82,,,,,,
USGS,9342500,2001-05-18,0:30,3410,,5.66,,,,,,
USGS,9342500,2002-04-15,4:30,296,,2.07,,,,,,
USGS,9342500,2003-05-30,20:15,2580,,4.99,,,,,,
USGS,9342500,2004-09-19,20:30,4300,,6.16,,,,,,
USGS,9342500,2005-05-23,23:00,4890,,7.94,6,,,,,
USGS,9342500,2006-05-21,22:45,1730,,5.73,,,,,,
USGS,9342500,2006-10-07,6:45,2310,,6.2,,,,,,
USGS,9342500,2008-05-21,3:45,3170,,6.83,,,,,,
USGS,9342500,2009-05-12,23:30,2930,,6.66,,,,,,
USGS,9342500,2010-05-29,23:00,2860,,6.73,,,,,,
USGS,9342500,2011-06-07,,2550,,8.53,,,,,,
USGS,9342500,2012-04-27,,1430,,6.91,,,,,,
USGS,9342500,2013-09-22,23:15,2230,,8.14,,,,,,
USGS,9342500,2014-05-30,2:15,2280,,8.16,,,,,,
USGS,9342500,2015-06-11,,2720,,8.68,,,,,,
USGS,9342500,2016-06-06,0:30,2610,,8.54,,,,,,
USGS,9342500,2017-06-05,23:45,2600,,8.31,,,,,,
USGS,9342500,2018-05-10,23:45,1330,,6.88,,,,,,
USGS,9342500,2019-06-09,2:00,4340,,10.22,,,,,,
USGS,9342500,2020-05-02,0:30,1910,,7.82,,,,,,
